"device","subject","run_id","energy_consumed","load_time"
"nexus5x","http1042018080wwwapplecomwwwapplecom3indexhtml",2,74.649276,311
"nexus5x","http1042018080wwwapplecomwwwapplecom3indexhtml",3,80.236332,255
"nexus5x","http1042018080wwwapplecomwwwapplecom3indexhtml",4,74.49408,229
"nexus5x","http1042018080wwwapplecomwwwapplecom3indexhtml",5,76.977216,389
"nexus5x","http1042018080outlooklivecomoutlooklivecomowa2indexhtml",1,62.21916,243
"nexus5x","http1042018080outlooklivecomoutlooklivecomowa2indexhtml",2,74.63196,232
"nexus5x","http1042018080outlooklivecomoutlooklivecomowa2indexhtml",3,62.68464,225
"nexus5x","http1042018080outlooklivecomoutlooklivecomowa2indexhtml",4,76.95936,1740
"nexus5x","http1042018080outlooklivecomoutlooklivecomowa2indexhtml",5,76.64904,274
"nexus5x","http1042018080wwwamazoninwwwamazonin3indexhtml",1,61.822656,327
"nexus5x","http1042018080wwwamazoninwwwamazonin3indexhtml",2,76.387392,1022
"nexus5x","http1042018080wwwamazoninwwwamazonin3indexhtml",3,79.486272,256
"nexus5x","http1042018080wwwamazoninwwwamazonin3indexhtml",4,76.232448,407
"nexus5x","http1042018080wwwamazoninwwwamazonin3indexhtml",5,77.626944,298
"nexus5x","http1042018080wwwamazoninwwwamazonin2indexhtml",1,63.706896,227
"nexus5x","http1042018080wwwamazoninwwwamazonin2indexhtml",2,73.56816,378
"nexus5x","http1042018080wwwamazoninwwwamazonin2indexhtml",3,76.229136,329
"nexus5x","http1042018080wwwamazoninwwwamazonin2indexhtml",4,74.507328,247
"nexus5x","http1042018080wwwamazoninwwwamazonin2indexhtml",5,76.385664,294
"nexus5x","http1042018080wwwtheguardiancomwwwtheguardiancom0internationalhtml",1,61.657848,515
"nexus5x","http1042018080wwwtheguardiancomwwwtheguardiancom0internationalhtml",2,75.585636,491
"nexus5x","http1042018080wwwtheguardiancomwwwtheguardiancom0internationalhtml",3,78.715476,483
"nexus5x","http1042018080wwwtheguardiancomwwwtheguardiancom0internationalhtml",4,78.558984,531
"nexus5x","http1042018080wwwtheguardiancomwwwtheguardiancom0internationalhtml",5,78.089508,1205
"nexus5x","http1042018080stackoverflowcomstackoverflowcom3indexhtml",1,62.28,277
"nexus5x","http1042018080stackoverflowcomstackoverflowcom3indexhtml",2,77.0715,261
"nexus5x","http1042018080stackoverflowcomstackoverflowcom3indexhtml",3,76.4487,262
"nexus5x","http1042018080stackoverflowcomstackoverflowcom3indexhtml",4,76.4487,269
"nexus5x","http1042018080stackoverflowcomstackoverflowcom3indexhtml",5,73.179,358
"nexus5x","http1042018080wwwmozillaorgwwwmozillaorgen-us2indexhtml",1,61.782336,272
"nexus5x","http1042018080wwwmozillaorgwwwmozillaorgen-us2indexhtml",2,77.305536,329
"nexus5x","http1042018080wwwmozillaorgwwwmozillaorgen-us2indexhtml",3,75.753216,332
"nexus5x","http1042018080wwwmozillaorgwwwmozillaorgen-us2indexhtml",4,77.926464,253
"nexus5x","http1042018080wwwmozillaorgwwwmozillaorgen-us2indexhtml",5,76.218912,298
"nexus5x","http1042018080wwwforbescomwwwforbescom0indexhtml",1,70.025868,343
"nexus5x","http1042018080wwwforbescomwwwforbescom0indexhtml",2,96.110892,471
"nexus5x","http1042018080wwwforbescomwwwforbescom0indexhtml",3,95.955624,291
"nexus5x","http1042018080wwwforbescomwwwforbescom0indexhtml",4,91.918656,339
"nexus5x","http1042018080wwwforbescomwwwforbescom0indexhtml",5,92.539728,260
"nexus5x","http1042018080wwwbbccomwwwbbccom2indexhtml",1,61.81434,382
"nexus5x","http1042018080wwwbbccomwwwbbccom2indexhtml",2,75.742128,424
"nexus5x","http1042018080wwwbbccomwwwbbccom2indexhtml",3,62.909784,501
"nexus5x","http1042018080wwwbbccomwwwbbccom2indexhtml",4,75.89862,328
"nexus5x","http1042018080wwwbbccomwwwbbccom2indexhtml",5,78.246,443
"nexus5x","http1042018080wwwlinkedincomwwwlinkedincom3indexhtml",1,59.85792,232
"nexus5x","http1042018080wwwlinkedincomwwwlinkedincom3indexhtml",2,73.57536,253
"nexus5x","http1042018080wwwlinkedincomwwwlinkedincom3indexhtml",3,74.35476,376
"nexus5x","http1042018080wwwlinkedincomwwwlinkedincom3indexhtml",4,73.73124,675
"nexus5x","http1042018080wwwlinkedincomwwwlinkedincom3indexhtml",5,76.69296,256
