"","subject_url","load_time","energy_consumed","opt_level","subject_id","subject_rank"
"767","awsamazoncom",81,77.854176,"2","8","38"
"768","awsamazoncom",142,78.629616,"2","8","38"
"769","awsamazoncom",149,75.682944,"2","8","38"
"770","awsamazoncom",111,77.854176,"2","8","38"
"146","awsamazoncom",79,61.16022,"3","8","38"
"147","awsamazoncom",131,74.940624,"3","8","38"
"148","awsamazoncom",222,75.559968,"3","8","38"
"149","awsamazoncom",88,73.701936,"3","8","38"
"150","awsamazoncom",154,76.179312,"3","8","38"
"581","awsamazoncom",258,60.562404,"3","8","38"
"582","awsamazoncom",310,75.429144,"3","8","38"
"583","awsamazoncom",96,75.272652,"3","8","38"
"584","awsamazoncom",149,74.490192,"3","8","38"
"585","awsamazoncom",188,76.211604,"3","8","38"
"176","officecom",102,62.316432,"0","9","42"
"177","officecom",251,86.188896,"0","9","42"
"178","officecom",36,86.80896,"0","9","42"
"179","officecom",296,85.878864,"0","9","42"
"180","officecom",46,86.188896,"0","9","42"
"181","officecom",60,70.947864,"1","9","42"
"182","officecom",181,76.67946,"1","9","42"
"183","officecom",63,78.693264,"1","9","42"
"184","officecom",93,86.593572,"1","9","42"
"185","officecom",269,85.819032,"1","9","42"
"286","officecom",160,63.889128,"2","9","42"
"287","officecom",58,87.672672,"2","9","42"
"288","officecom",69,86.27364,"2","9","42"
"289","officecom",64,86.27364,"2","9","42"
"290","officecom",55,85.340952,"2","9","42"
"721","officecom",38,71.284536,"2","9","42"
"722","officecom",279,87.125544,"2","9","42"
"723","officecom",207,71.595144,"2","9","42"
"724","officecom",53,78.117912,"2","9","42"
"725","officecom",107,86.038416,"2","9","42"
"116","officecom",193,60.875388,"3","9","42"
"117","officecom",118,71.360352,"3","9","42"
"118","officecom",45,76.524588,"3","9","42"
"119","officecom",125,75.429144,"3","9","42"
"120","officecom",67,76.994064,"3","9","42"
"551","officecom",297,62.7471,"3","9","42"
"552","officecom",75,76.1373,"3","9","42"
