"subject_url","load_time","energy_consumed","opt_level","subject_id","subject_rank"
"stackoverflowcom",320,73.377864,"0","15","67"
"stackoverflowcom",282,61.147224,"1","15","67"
"stackoverflowcom",522,74.649276,"1","15","67"
"stackoverflowcom",233,74.028492,"1","15","67"
"stackoverflowcom",249,73.873296,"1","15","67"
"stackoverflowcom",397,75.580452,"1","15","67"
"stackoverflowcom",306,61.712856,"1","15","67"
"stackoverflowcom",331,77.257656,"1","15","67"
"stackoverflowcom",292,64.821816,"1","15","67"
"stackoverflowcom",295,75.39228,"1","15","67"
"stackoverflowcom",334,76.791312,"1","15","67"
"stackoverflowcom",267,61.94232,"2","15","67"
"stackoverflowcom",299,64.28862,"2","15","67"
"stackoverflowcom",336,75.70728,"2","15","67"
"stackoverflowcom",262,75.8637,"2","15","67"
"stackoverflowcom",257,76.48938,"2","15","67"
"stackoverflowcom",452,60.70896,"2","15","67"
"stackoverflowcom",256,75.185712,"2","15","67"
"stackoverflowcom",265,77.832,"2","15","67"
"stackoverflowcom",271,73.473408,"2","15","67"
"stackoverflowcom",260,76.27536,"2","15","67"
"stackoverflowcom",277,62.28,"3","15","67"
"stackoverflowcom",261,77.0715,"3","15","67"
"stackoverflowcom",262,76.4487,"3","15","67"
"stackoverflowcom",269,76.4487,"3","15","67"
"stackoverflowcom",358,73.179,"3","15","67"
"stackoverflowcom",293,61.331616,"3","15","67"
"stackoverflowcom",334,75.964032,"3","15","67"
"stackoverflowcom",525,76.742352,"3","15","67"
"stackoverflowcom",267,75.964032,"3","15","67"
"stackoverflowcom",266,75.030048,"3","15","67"
"apacheorg",273,60.80832,"0","16","80"
"apacheorg",279,74.96064,"0","16","80"
"apacheorg",269,70.29504,"0","16","80"
"apacheorg",277,73.0944,"0","16","80"
"apacheorg",277,74.33856,"0","16","80"
"apacheorg",483,61.189776,"0","16","80"
"apacheorg",372,76.720176,"0","16","80"
"apacheorg",278,75.633048,"0","16","80"
"apacheorg",260,74.701224,"0","16","80"
"apacheorg",241,75.943656,"0","16","80"
"apacheorg",287,60.54048,"1","16","80"
"apacheorg",239,75.132288,"1","16","80"
